🇯🇵	🇺🇸	🇩🇪	🇫🇷	🇮🇹	🇪🇸	🇰🇷	🇨🇳	🇹🇼
はたく	Pound	Pfund	Écras’Face	Botta	Destructor	막치기	拍击	拍擊
からてチョップ	Karate Chop	Karateschlag	Poing-Karaté	Colpokarate	Golpe Kárate	태권당수	空手劈	空手劈
おうふくビンタ	Double Slap	Duplexhieb	Torgnoles	Doppiasberla	Doble Bofetón	연속뺨치기	连环巴掌	連環巴掌
れんぞくパンチ	Comet Punch	Kometenhieb	Poing Comète	Cometapugno	Puño Cometa	연속펀치	连续拳	連續拳
メガトンパンチ	Mega Punch	Megahieb	Ultimapoing	Megapugno	Megapuño	메가톤펀치	百万吨重拳	百萬噸重拳
ネコにこばん	Pay Day	Zahltag	Jackpot	Giornopaga	Día de Pago	고양이돈받기	聚宝功	聚寶功
ほのおのパンチ	Fire Punch	Feuerschlag	Poing de Feu	Fuocopugno	Puño Fuego	불꽃펀치	火焰拳	火焰拳
れいとうパンチ	Ice Punch	Eishieb	Poing-Glace	Gelopugno	Puño Hielo	냉동펀치	冰冻拳	冰凍拳
かみなりパンチ	Thunder Punch	Donnerschlag	Poing-Éclair	Tuonopugno	Puño Trueno	번개펀치	雷电拳	雷電拳
ひっかく	Scratch	Kratzer	Griffe	Graffio	Arañazo	할퀴기	抓	抓
はさむ	Vice Grip	Klammer	Force Poigne	Presa	Agarre	찝기	夹住	夾住
ハサミギロチン	Guillotine	Guillotine	Guillotine	Ghigliottina	Guillotina	가위자르기	断头钳	斷頭鉗
かまいたち	Razor Wind	Klingensturm	Coupe-Vent	Ventagliente	Viento Cortante	칼바람	旋风刀	旋風刀
つるぎのまい	Swords Dance	Schwerttanz	Danse-Lames	Danzaspada	Danza Espada	칼춤	剑舞	劍舞
いあいぎり	Cut	Zerschneider	Coupe	Taglio	Corte	풀베기	居合斩	居合斬
かぜおこし	Gust	Windstoß	Tornade	Raffica	Tornado	바람일으키기	起风	起風
つばさでうつ	Wing Attack	Flügelschlag	Cru-Aile	Attacco d’Ala	Ataque Ala	날개치기	翅膀攻击	翅膀攻擊
ふきとばし	Whirlwind	Wirbelwind	Cyclone	Turbine	Remolino	날려버리기	吹飞	吹飛
そらをとぶ	Fly	Fliegen	Vol	Volo	Vuelo	공중날기	飞翔	飛翔
しめつける	Bind	Klammergriff	Étreinte	Legatutto	Atadura	조이기	绑紧	綁緊
たたきつける	Slam	Slam	Souplesse	Schianto	Atizar	힘껏치기	摔打	摔打
つるのムチ	Vine Whip	Rankenhieb	Fouet Lianes	Frustata	Látigo Cepa	덩굴채찍	藤鞭	藤鞭
ふみつけ	Stomp	Stampfer	Écrasement	Pestone	Pisotón	짓밟기	踩踏	踩踏
にどげり	Double Kick	Doppelkick	Double Pied	Doppiocalcio	Doble Patada	두번치기	二连踢	二連踢
メガトンキック	Mega Kick	Megakick	Ultimawashi	Megacalcio	Megapatada	메가톤킥	百万吨重踢	百萬噸重踢
とびげり	Jump Kick	Sprungkick	Pied Sauté	Calciosalto	Patada Salto	점프킥	飞踢	飛踢
まわしげり	Rolling Kick	Fegekick	Mawashi Geri	Calciorullo	Patada Giro	돌려차기	回旋踢	迴旋踢
すなかけ	Sand Attack	Sandwirbel	Jet de Sable	Turbosabbia	Ataque Arena	모래뿌리기	泼沙	潑沙
ずつき	Headbutt	Kopfnuss	Coup d’Boule	Bottintesta	Golpe Cabeza	박치기	头锤	頭錘
つのでつく	Horn Attack	Hornattacke	Koud’Korne	Incornata	Cornada	뿔찌르기	角撞	角撞
みだれづき	Fury Attack	Furienschlag	Furie	Furia	Ataque Furia	마구찌르기	乱击	亂擊
つのドリル	Horn Drill	Hornbohrer	Empal’Korne	Perforcorno	Perforador	뿔드릴	角钻	角鑽
たいあたり	Tackle	Tackle	Charge	Azione	Placaje	몸통박치기	撞击	撞擊
のしかかり	Body Slam	Bodyslam	Plaquage	Corposcontro	Golpe Cuerpo	누르기	泰山压顶	泰山壓頂
まきつく	Wrap	Wickel	Ligotage	Avvolgibotta	Constricción	김밥말이	紧束	緊束
とっしん	Take Down	Bodycheck	Bélier	Riduttore	Derribo	돌진	猛撞	猛撞
あばれる	Thrash	Fuchtler	Mania	Colpo	Golpe	난동부리기	大闹一番	大鬧一番
すてみタックル	Double-Edge	Risikotackle	Damoclès	Sdoppiatore	Doble Filo	이판사판태클	舍身冲撞	捨身衝撞
しっぽをふる	Tail Whip	Rutenschlag	Mimi-Queue	Colpocoda	Látigo	꼬리흔들기	摇尾巴	搖尾巴
どくばり	Poison Sting	Giftstachel	Dard-Venin	Velenospina	Picotazo Ven	독침	毒针	毒針
ダブルニードル	Twineedle	Duonadel	Double-Dard	Doppio Ago	Doble Ataque	더블니들	双针	雙針
ミサイルばり	Pin Missile	Nadelrakete	Dard-Nuée	Missilspillo	Pin Misil	바늘미사일	飞弹针	飛彈針
にらみつける	Leer	Silberblick	Groz’Yeux	Fulmisguardo	Malicioso	째려보기	瞪眼	瞪眼
かみつく	Bite	Biss	Morsure	Morso	Mordisco	물기	咬住	咬住
なきごえ	Growl	Heuler	Rugissement	Ruggito	Gruñido	울음소리	叫声	叫聲
ほえる	Roar	Brüller	Hurlement	Boato	Rugido	울부짖기	吼叫	吼叫
うたう	Sing	Gesang	Berceuse	Canto	Canto	노래하기	唱歌	唱歌
ちょうおんぱ	Supersonic	Superschall	Ultrason	Supersuono	Supersónico	초음파	超音波	超音波
ソニックブーム	Sonic Boom	Ultraschall	Sonicboom	Sonicboom	Bomba Sónica	소닉붐	音爆	音爆
かなしばり	Disable	Aussetzer	Entrave	Inibitore	Anulación	사슬묶기	定身法	定身法
ようかいえき	Acid	Säure	Acide	Acido	Ácido	용해액	溶解液	溶解液
ひのこ	Ember	Glut	Flammèche	Braciere	Ascuas	불꽃세례	火花	火花
かえんほうしゃ	Flamethrower	Flammenwurf	Lance-Flammes	Lanciafiamme	Lanzallamas	화염방사	喷射火焰	噴射火焰
しろいきり	Mist	Weißnebel	Brume	Nebbia	Neblina	흰안개	白雾	白霧
みずでっぽう	Water Gun	Aquaknarre	Pistolet à O	Pistolacqua	Pistola Agua	물대포	水枪	水槍
ハイドロポンプ	Hydro Pump	Hydropumpe	Hydrocanon	Idropompa	Hidrobomba	하이드로펌프	水炮	水炮
なみのり	Surf	Surfer	Surf	Surf	Surf	파도타기	冲浪	衝浪
れいとうビーム	Ice Beam	Eisstrahl	Laser Glace	Geloraggio	Rayo Hielo	냉동빔	冰冻光束	冰凍光束
ふぶき	Blizzard	Blizzard	Blizzard	Bora	Ventisca	눈보라	暴风雪	暴風雪
サイケこうせん	Psybeam	Psystrahl	Rafale Psy	Psicoraggio	Psicorrayo	환상빔	幻象光线	幻象光線
バブルこうせん	Bubble Beam	Blubbstrahl	Bulles d’O	Bollaraggio	Rayo Burbuja	거품광선	泡沫光线	泡沫光線
オーロラビーム	Aurora Beam	Aurorastrahl	Onde Boréale	Raggiaurora	Rayo Aurora	오로라빔	极光束	極光束
はかいこうせん	Hyper Beam	Hyperstrahl	Ultralaser	Iper Raggio	Hiperrayo	파괴광선	破坏光线	破壞光線
つつく	Peck	Schnabel	Picpic	Beccata	Picotazo	쪼기	啄	啄
ドリルくちばし	Drill Peck	Bohrschnabel	Bec Vrille	Perforbecco	Pico Taladro	회전부리	啄钻	啄鑽
じごくぐるま	Submission	Überroller	Sacrifice	Sottomissione	Sumisión	지옥의바퀴	地狱翻滚	地獄翻滾
けたぐり	Low Kick	Fußkick	Balayage	Colpo Basso	Patada Baja	안다리걸기	踢倒	踢倒
カウンター	Counter	Konter	Riposte	Contrattacco	Contraataque	카운터	双倍奉还	雙倍奉還
ちきゅうなげ	Seismic Toss	Geowurf	Frappe Atlas	Movim. Sismico	Mov. Sísmico	지구던지기	地球上投	地球上投
かいりき	Strength	Stärke	Force	Forza	Fuerza	괴력	怪力	怪力
すいとる	Absorb	Absorber	Vol-Vie	Assorbimento	Absorber	흡수	吸取	吸取
メガドレイン	Mega Drain	Megasauger	Méga-Sangsue	Megassorbimento	Megaagotar	메가드레인	超级吸取	超級吸取
やどりぎのタネ	Leech Seed	Egelsamen	Vampigraine	Parassiseme	Drenadoras	씨뿌리기	寄生种子	寄生種子
せいちょう	Growth	Wachstum	Croissance	Crescita	Desarrollo	성장	生长	生長
はっぱカッター	Razor Leaf	Rasierblatt	Tranch’Herbe	Foglielama	Hoja Afilada	잎날가르기	飞叶快刀	飛葉快刀
ソーラービーム	Solar Beam	Solarstrahl	Lance-Soleil	Solarraggio	Rayo Solar	솔라빔	日光束	日光束
どくのこな	Poison Powder	Giftpuder	Poudre Toxik	Velenpolvere	Polvo Veneno	독가루	毒粉	毒粉
しびれごな	Stun Spore	Stachelspore	Para-Spore	Paralizzante	Paralizador	저리가루	麻痹粉	麻痺粉
ねむりごな	Sleep Powder	Schlafpuder	Poudre Dodo	Sonnifero	Somnífero	수면가루	催眠粉	催眠粉
はなびらのまい	Petal Dance	Blättertanz	Danse-Fleur	Petalodanza	Danza Pétalo	꽃잎댄스	花瓣舞	花瓣舞
いとをはく	String Shot	Fadenschuss	Sécrétion	Millebave	Disparo Demora	실뿜기	吐丝	吐絲
りゅうのいかり	Dragon Rage	Drachenwut	Draco-Rage	Ira di Drago	Furia Dragón	용의분노	龙之怒	龍之怒
ほのおのうず	Fire Spin	Feuerwirbel	Danse Flamme	Turbofuoco	Giro Fuego	회오리불꽃	火焰旋涡	火焰旋渦
でんきショック	Thunder Shock	Donnerschock	Éclair	Tuonoshock	Impactrueno	전기쇼크	电击	電擊
10まんボルト	Thunderbolt	Donnerblitz	Tonnerre	Fulmine	Rayo	10만볼트	十万伏特	十萬伏特
でんじは	Thunder Wave	Donnerwelle	Cage-Éclair	Tuononda	Onda Trueno	전기자석파	电磁波	電磁波
かみなり	Thunder	Donner	Fatal-Foudre	Tuono	Trueno	번개	打雷	打雷
いわおとし	Rock Throw	Steinwurf	Jet-Pierres	Sassata	Lanzarrocas	돌떨구기	落石	落石
じしん	Earthquake	Erdbeben	Séisme	Terremoto	Terremoto	지진	地震	地震
じわれ	Fissure	Geofissur	Abîme	Abisso	Fisura	땅가르기	地裂	地裂
あなをほる	Dig	Schaufler	Tunnel	Fossa	Excavar	구멍파기	挖洞	挖洞
どくどく	Toxic	Toxin	Toxik	Tossina	Tóxico	맹독	剧毒	劇毒
ねんりき	Confusion	Konfusion	Choc Mental	Confusione	Confusión	염동력	念力	念力
サイコキネシス	Psychic	Psychokinese	Psyko	Psichico	Psíquico	사이코키네시스	精神强念	精神強念
さいみんじゅつ	Hypnosis	Hypnose	Hypnose	Ipnosi	Hipnosis	최면술	催眠术	催眠術
ヨガのポーズ	Meditate	Meditation	Yoga	Meditazione	Meditación	요가포즈	瑜伽姿势	瑜伽姿勢
こうそくいどう	Agility	Agilität	Hâte	Agilità	Agilidad	고속이동	高速移动	高速移動
でんこうせっか	Quick Attack	Ruckzuckhieb	Vive-Attaque	Attacco Rapido	Ataque Rápido	전광석화	电光一闪	電光一閃
いかり	Rage	Raserei	Frénésie	Ira	Furia	분노	愤怒	憤怒
テレポート	Teleport	Teleport	Téléport	Teletrasporto	Teletransporte	순간이동	瞬间移动	瞬間移動
ナイトヘッド	Night Shade	Nachtnebel	Ombre Nocturne	Ombra Notturna	Tinieblas	나이트헤드	黑夜魔影	黑夜魔影
ものまね	Mimic	Mimikry	Copie	Mimica	Mimético	흉내내기	模仿	模仿
いやなおと	Screech	Kreideschrei	Grincement	Stridio	Chirrido	싫은소리	刺耳声	刺耳聲
かげぶんしん	Double Team	Doppelteam	Reflet	Doppioteam	Doble Equipo	그림자분신	影子分身	影子分身
じこさいせい	Recover	Genesung	Soin	Ripresa	Recuperación	HP회복	自我再生	自我再生
かたくなる	Harden	Härtner	Armure	Rafforzatore	Fortaleza	단단해지기	变硬	變硬
ちいさくなる	Minimize	Komprimator	Lilliput	Minimizzato	Reducción	작아지기	变小	變小
えんまく	Smokescreen	Rauchwolke	Brouillard	Muro di Fumo	Pantalla de Humo	연막	烟幕	煙幕
あやしいひかり	Confuse Ray	Konfustrahl	Onde Folie	Stordiraggio	Rayo Confuso	이상한빛	奇异之光	奇異之光
からにこもる	Withdraw	Panzerschutz	Repli	Ritirata	Refugio	껍질에숨기	缩入壳中	縮入殼中
まるくなる	Defense Curl	Einigler	Boul’Armure	Ricciolscudo	Rizo Defensa	웅크리기	变圆	變圓
バリアー	Barrier	Barriere	Bouclier	Barriera	Barrera	배리어	屏障	屏障
ひかりのかべ	Light Screen	Lichtschild	Mur Lumière	Schermoluce	Pantalla de Luz	빛의장막	光墙	光牆
くろいきり	Haze	Dunkelnebel	Buée Noire	Nube	Niebla	흑안개	黑雾	黑霧
リフレクター	Reflect	Reflektor	Protection	Riflesso	Reflejo	리플렉터	反射壁	反射壁
きあいだめ	Focus Energy	Energiefokus	Puissance	Focalenergia	Foco Energía	기충전	聚气	聚氣
